duplicate_group_id,group_key,linked_business_candidate,evidence_drive_file_ids,artifact_types,phones,emails,websites,final_filenames
menu-evidence-group-0001,email:store.142893@jonesshakes.com,Jones Shakes Pensacola,1W_JEFYhuZLjS73w0_PH9--3yL4t6w7YO|1t7dCPeYx67ZMWmcaN1R_B20Yn09I60fi,menu,850-470-1999,store.142893@jonesshakes.com,instagram.com/jonesshakes.pensacola,Jones Shakes Pensacola.PNG
menu-evidence-group-0002,name:a neighborly,a neighborly company,157RwyOxslx7qC25duO8KmCs8wriutDsX|1-UE0dN2O4-lSbcHjQumIKZAKTYBHmSiL,unknown,,,,a neighborly company.JPG|a Neighborly company.JPG
menu-evidence-group-0003,email:cturner@cocamokesmokebbq.com,Cocamoke Smoke BBQ,1MYTL0nuEXkBndkLCkcBjVnhVYQOBNxiO|1WrKsGd7UVZyjccdPy6Mhp5IMCmpvyD22,menu,205-499-0022,cturner@cocamokesmokebbq.com,cocamokesmokebbq.com,Cocamoke Smoke BB.PNG|Cocamoke Smoke BBQ.PNG
menu-evidence-group-0004,phone:850-935-3800,"Affordable Plumbing, Ga... Q0 (S)",1vOUUKcVEAgS_U29QkX_ezii3mfi_ZZoq|1rfoHSC2mkScfEIo-AiJi9XXWyFKoBkgN,profile|unknown,850-935-3800,,affordableplumbingnwfl.com|AffordablePlumbingNWEL.com,"Affordable Plumbing of Navarre - Plumbing, gas.jpg|Navarre - Midway - Gulf Breeze.jpg"
menu-evidence-group-0005,email:aguaberry77@gmail.com,AguaBerry,1qV5MsNekQLHjOq6XIio96eD0G0_eMgAg|14QoacXZ2loSHtJ9RbL-1gtWaUgeiFAvK,profile,,Aguaberry77@gmail.com,,Follow @ Message.PNG
menu-evidence-group-0006,email:junkanoostreet@gmail.com,Junkanoodreamstreet,1AFFug80Ju2meLX212E773yv7ROROR3f8|1rzC7SJhnYJJ8nP0EY7JfAzO2L4ijNf6Z,profile,,junkanoostreet@gmail.com,junkanoodreamstreet.com,Junkanoodreamstreet.PNG
menu-evidence-group-0007,email:flashyfunnelcakes@yahoo.com,ares Food Truck,1qfu9woizAtiwu7TMGkDMaaVp-YHfGy8d|11LkN1rvSw239sw4EstT33AZ8s7N3tvRh|191USivKtvyh0OrdWVrPQ4Ryi05-4aI9k,profile|possible_menu,256-740-9642,flashyfunnelcakes@yahoo.com,,Flashy Funnel Cakes.PNG
menu-evidence-group-0008,email:thewoklobster@thewoklobster.net,American Comfort LLC,1c6Ooc5V9dyJIKrHQZN-dnr1szgZJ7-OJ|1OCtSJay_wadZ09GFKv1Ed8CejK_GYkfa,profile,205-862-8418,thewoklobster@thewoklobster.net,,American Comfort LLC.PNG
menu-evidence-group-0009,phone:850-460-0639,Sugar & Co.,1A6qsMCUy9WoeiQinFERae-I7jDR3hsiX|1714rGkB4lg64pVNOy-ZadgXZDYPXPGRS,profile,850-460-0639,,,Sugar & Co..PNG
menu-evidence-group-0010,name:error,ERROR!,1j8n1CFkaQq0KYOeAIXLpv_dVv0OTULU0|14qenj-TJE5TrNI3MVQCyEdR5Z8LXwEuD,unknown,,,,#ERROR!
menu-evidence-group-0011,email:yo.daddio.bbq@gmail.com,Yo Daddio BBQ,1ABYHoGH90EqfdaT9y1iSRCd8nAjRi2Cd|1-O6iTbwfwjNOxo6byaAqEfwKiNzd8pTx,menu,941-313-6499,yo.daddio.bbq@gmail.com,,Yo Daddio BB.PNG
menu-evidence-group-0012,email:moonbeambakery@outlook.com,Moonbeam Bakery,1zPeGtFTNBukTfQwp55a31eaRZTU7HASA|15stVHA5B1IU5aGLB5KmF6bY-RTEvuP2G,profile,,moonbeambakery@outlook.com,,Moonbeam Bakery.PNG
menu-evidence-group-0013,email:doubledippin22@gmail.com,Double Dippin,1o2QBgOhfublJf6GetX_r2L4HEhrVkVe7|1DSfP_nshPko07yBRcY8oyegsar9TOin1,profile,386-299-1192,DoubleDippin22@gmail.com,,Double Dippin.PNG
menu-evidence-group-0014,name:fencing,Fencing,1cFXzaCAtGWv5lqjyjo2nszYkztHKMbvn|1qr5nluBWbWWlcRB6EkPeKP1W3D01qfTz,profile|unknown,,,,Fencing.PNG|FENCING.JPG
